"view_count"	"like_count"	"dislike_count"	"duration"	"id"	
309881	31568	74	1374.0	"9RtMlrBzkyA"	
205643	19244	77	1631.0	"LEyjCC2wyq0"	
367997	27726	89	1836.0	"1zGO_EJCpnM"	
228574	17139	74	1642.0	"vAm0qptkGAU"	
434806	36804	116	1709.0	"kY-mr8KOXkA"	
361278	27175	134	1405.0	"dKdbB7mR9HQ"	
218751	17374	70	1764.0	"AYP8sqOO5pM"	
341162	24505	105	3036.0	"ab6hMmYSm7M"	
300623	24482	112	2332.0	"NmITc9YrEU4"	
467364	39373	127	1816.0	"U6Yu-Ane9IE"	
235780	18087	73	1572.0	"Ta1qHReYXYs"	
201391	24786	166	1834.0	"IVHIuF04TzQ"	
504638	33859	132	1998.0	"XMqZhsbLrh4"	
379091	25459	111	1427.0	"H-GRvcGrQkQ"	
260938	17144	97	1729.0	"WFu1MfaJLdY"	
524838	38741	157	1597.0	"szWtR0fbQOY"	
620887	40768	148	2424.0	"pOasyFTGMwk"	
364393	25494	79	1392.0	"7jfyDhXUBhc"	
235466	17070	85	1319.0	"000dXaaPH4Y"	
742696	43655	275	2627.0	"qjJ1AcHmg8w"	
400884	25538	97	1597.0	"EchloyhoNrk"	
246216	17508	89	1420.0	"su6ayiDwjkI"	
931328	57349	251	3179.0	"FRmq1bCRRo8"	
401410	27307	138	1479.0	"lUxvGgA8cNE"	
522572	44448	164	1553.0	"MAMRFfTFij4"	
227759	17915	58	1292.0	"ihq8S9YNegE"	
568290	39062	242	1817.0	"XE9tKmpiJcs"	
417367	29035	205	1759.0	"W9LTfYMUEQs"	
216436	15079	70	1568.0	"PNFTHEIgd-k"	
492057	33042	133	1532.0	"PuXX2zkEs48"	
1157784	54041	362	6817.0	"MVGB2jy5hJ8"	
232296	16498	70	1573.0	"bMMw1y2SK-k"	
536854	35243	134	2256.0	"pZsEfzRcOw0"	
433093	28120	125	1666.0	"mgkfMZlkgO4"	
499266	33732	108	1592.0	"cnjI-3TDhLc"	
369652	24995	89	1569.0	"HgZN0UBfQdU"	
217964	15440	62	1336.0	"w6I_tKqv9FA"	
438905	33832	99	1282.0	"q0JFK13N5dc"	
348579	25852	82	1510.0	"obGSGAC9IPQ"	
251603	16658	64	1437.0	"GfuoMOgOTQY"	
480444	39953	142	1398.0	"Q4vCeTLiVMU"	
436591	23856	109	1714.0	"NOvvuLkTGKM"	
608856	35910	162	2166.0	"1uVqoNr-hGc"	
425912	25767	112	1514.0	"eQSp8V-UQ-8"	
254562	15904	74	1205.0	"hI3EguTzAwc"	
547049	37915	186	1635.0	"pZK9HQK2kj0"	
531622	38411	137	1671.0	"OTLgATI_gNA"	
387320	24865	102	1570.0	"yvDPXk-odA4"	
264679	16610	86	1351.0	"ZLL6GZwqNgA"	
594560	34451	140	1785.0	"Uz_iZojU_fI"	
